cycle,T2,T24,T30,T50,P2,P30,Nf,Nc,scenario,scenario_name
1,530.31,641.6,1605.66,1436.1,14.25,43.7,2397.12,9136.51,critical,Critical Condition
2,528.24,641.88,1594.96,1431.93,14.1,43.96,2403.95,9174.88,critical,Critical Condition
3,525.04,659.95,1586.96,1408.24,14.34,43.79,2380.63,9105.36,critical,Critical Condition
4,526.26,656.96,1620.38,1418.35,14.37,43.86,2403.1,8945.88,critical,Critical Condition
5,520.97,651.24,1594.6,1420.04,14.38,43.14,2419.3,8919.59,critical,Critical Condition
6,531.83,649.07,1623.7,1444.81,14.08,43.46,2372.55,9052.08,critical,Critical Condition
7,536.28,658.24,1600.56,1449.11,14.28,43.32,2360.97,9131.37,critical,Critical Condition
8,535.05,664.5,1608.54,1449.47,14.28,44.09,2412.92,9105.44,critical,Critical Condition
9,534.45,662.57,1644.05,1438.53,14.2,43.04,2402.3,9116.32,critical,Critical Condition
10,528.87,654.99,1612.41,1439.24,13.93,43.37,2371.36,9120.94,critical,Critical Condition
11,526.65,655.87,1622.38,1446.44,13.99,43.04,2408.26,8996.46,critical,Critical Condition
12,537.48,658.83,1642.18,1467.8,13.88,43.14,2363.84,8849.39,critical,Critical Condition
13,529.75,669.5,1659.17,1430.36,13.87,43.85,2396.2,8973.68,critical,Critical Condition
14,532.48,674.38,1627.14,1451.45,13.86,43.4,2362.67,9002.22,critical,Critical Condition
15,540.83,672.53,1634.27,1475.29,14.06,42.64,2384.44,9086.29,critical,Critical Condition
16,546.65,675.05,1653.81,1441.18,14.1,42.88,2347.8,9042.77,critical,Critical Condition
17,545.28,670.92,1646.6,1481.06,14.02,42.99,2398.79,8913.38,critical,Critical Condition
18,537.31,676.14,1663.72,1450.49,13.83,43.13,2345.46,8970.52,critical,Critical Condition
19,545.01,670.64,1655.76,1464.06,13.79,42.5,2342.86,8948.2,critical,Critical Condition
20,547.57,679.8,1643.76,1470.52,13.84,42.73,2363.53,8921.29,critical,Critical Condition
21,548.2,679.05,1644.75,1493.18,14.09,43.45,2370.72,8816.13,critical,Critical Condition
22,550.07,677.41,1679.33,1456.16,13.81,43.27,2358.56,8994.72,critical,Critical Condition
23,552.07,674.77,1668.04,1487.88,14.11,43.09,2377.09,8949.36,critical,Critical Condition
24,550.82,673.06,1689.44,1461.62,13.87,43.06,2379.37,8883.76,critical,Critical Condition
25,541.39,683.42,1687.87,1486.53,13.9,42.9,2368.3,8817.64,critical,Critical Condition
26,557.34,681.29,1681.37,1482.8,13.99,42.89,2344.0,8931.76,critical,Critical Condition
27,556.26,686.89,1675.44,1502.96,14.03,42.11,2371.09,8873.63,critical,Critical Condition
28,547.91,689.61,1698.47,1476.88,13.71,43.15,2362.67,8961.06,critical,Critical Condition
29,551.81,689.8,1700.32,1513.4,13.65,41.9,2337.37,8903.78,critical,Critical Condition
30,557.09,692.35,1706.97,1506.43,13.63,42.08,2310.73,8705.72,critical,Critical Condition
31,556.01,687.82,1711.64,1499.41,13.68,42.6,2312.67,8885.47,critical,Critical Condition
32,562.89,688.14,1702.32,1525.02,13.75,42.68,2295.5,8899.68,critical,Critical Condition
33,560.45,700.98,1676.89,1495.4,13.86,41.86,2331.27,8914.4,critical,Critical Condition
34,561.65,689.92,1709.25,1533.43,13.76,42.42,2353.36,8883.04,critical,Critical Condition
35,561.46,686.93,1700.72,1497.01,13.83,41.7,2333.35,8701.88,critical,Critical Condition
36,568.14,693.81,1704.56,1527.84,13.53,42.04,2334.71,8886.38,critical,Critical Condition
37,566.05,690.87,1723.0,1512.48,13.73,42.18,2310.01,8805.13,critical,Critical Condition
38,558.5,696.04,1726.9,1521.54,13.87,42.28,2306.35,8650.26,critical,Critical Condition
39,558.49,696.83,1708.4,1531.28,13.77,41.67,2299.15,8662.77,critical,Critical Condition
40,567.01,711.2,1715.26,1526.2,13.82,42.65,2281.84,8768.08,critical,Critical Condition
41,570.28,698.31,1708.59,1539.46,13.64,41.89,2294.15,8697.79,critical,Critical Condition
42,564.89,693.8,1733.56,1546.54,13.72,42.29,2305.57,8760.11,critical,Critical Condition
43,562.86,710.17,1717.53,1545.0,13.72,41.45,2286.07,8615.11,critical,Critical Condition
44,576.83,711.2,1731.4,1537.48,13.7,42.47,2285.25,8772.48,critical,Critical Condition
45,572.1,705.31,1714.12,1559.9,13.75,41.57,2329.79,8728.6,critical,Critical Condition
46,576.75,710.05,1740.78,1525.82,13.54,41.44,2292.07,8609.4,critical,Critical Condition
47,578.34,713.09,1755.65,1528.03,13.46,42.34,2319.34,8764.74,critical,Critical Condition
48,569.9,705.89,1756.15,1561.66,13.57,41.45,2323.5,8694.48,critical,Critical Condition
49,569.18,711.53,1740.5,1550.15,13.47,41.9,2307.88,8610.46,critical,Critical Condition
50,569.93,709.16,1780.73,1568.13,13.69,41.74,2303.83,8572.1,critical,Critical Condition
51,577.58,711.1,1752.25,1558.51,13.5,41.88,2315.18,8726.93,critical,Critical Condition
52,584.3,708.43,1782.74,1579.17,13.35,41.09,2265.07,8661.78,critical,Critical Condition
53,582.07,720.06,1744.94,1565.38,13.51,41.87,2281.26,8484.08,critical,Critical Condition
54,587.34,708.96,1770.57,1577.17,13.62,41.0,2286.94,8652.96,critical,Critical Condition
55,588.65,715.31,1784.59,1556.51,13.33,41.85,2264.4,8679.82,critical,Critical Condition
56,581.83,712.99,1750.97,1588.03,13.32,41.2,2252.51,8497.67,critical,Critical Condition
57,578.57,730.0,1775.07,1554.86,13.53,41.46,2240.07,8522.73,critical,Critical Condition
58,580.15,720.28,1764.88,1576.12,13.44,41.25,2247.55,8509.76,critical,Critical Condition
59,584.73,724.51,1760.18,1605.36,13.57,41.24,2251.37,8680.16,critical,Critical Condition
60,585.26,723.14,1785.54,1565.71,13.32,41.68,2270.96,8566.15,critical,Critical Condition
61,588.81,730.71,1802.58,1575.34,13.4,40.8,2248.96,8510.17,critical,Critical Condition
62,586.9,732.04,1804.83,1567.62,13.51,41.45,2285.7,8447.71,critical,Critical Condition
63,588.39,721.66,1784.98,1583.68,13.28,40.96,2238.99,8511.8,critical,Critical Condition
64,588.13,722.42,1789.1,1620.39,13.31,40.75,2221.69,8382.49,critical,Critical Condition
65,585.31,724.97,1809.6,1604.57,13.33,40.84,2239.6,8464.54,critical,Critical Condition
66,591.59,745.44,1823.28,1587.97,13.47,41.47,2242.4,8614.29,critical,Critical Condition
67,596.26,743.48,1807.3,1602.33,13.48,41.07,2222.21,8536.93,critical,Critical Condition
68,599.6,743.87,1785.01,1629.13,13.46,40.43,2253.64,8387.98,critical,Critical Condition
69,597.63,732.93,1825.99,1608.88,13.1,40.74,2223.95,8357.96,critical,Critical Condition
70,589.94,732.52,1798.21,1600.27,13.41,40.65,2210.9,8396.63,critical,Critical Condition
71,596.02,741.36,1833.62,1600.52,13.13,41.26,2259.95,8365.86,critical,Critical Condition
72,599.97,734.35,1818.1,1598.0,13.09,40.11,2224.84,8361.74,critical,Critical Condition
73,592.79,739.99,1828.94,1605.39,13.27,40.26,2199.4,8407.44,critical,Critical Condition
74,591.98,742.21,1834.05,1608.22,13.36,40.8,2205.76,8392.52,critical,Critical Condition
75,600.38,742.1,1824.54,1645.3,13.04,40.51,2217.78,8450.09,critical,Critical Condition
76,597.31,746.73,1858.07,1620.85,13.23,41.03,2242.92,8475.03,critical,Critical Condition
77,598.36,744.32,1848.51,1618.77,13.06,40.86,2240.48,8292.04,critical,Critical Condition
78,603.96,759.6,1825.5,1617.85,12.99,40.35,2208.08,8485.41,critical,Critical Condition
79,606.62,758.26,1873.56,1631.84,13.01,40.91,2238.86,8387.64,critical,Critical Condition
80,597.83,748.9,1873.57,1658.96,12.95,40.6,2223.98,8345.73,critical,Critical Condition
81,614.35,755.27,1857.09,1623.65,13.08,39.9,2190.95,8303.17,critical,Critical Condition
82,611.56,745.21,1852.36,1626.8,13.05,40.01,2178.85,8266.19,critical,Critical Condition
83,616.89,763.7,1839.67,1668.51,13.14,40.26,2179.6,8239.98,critical,Critical Condition
84,614.48,753.53,1857.41,1628.3,12.97,40.22,2194.26,8290.88,critical,Critical Condition
85,607.22,757.31,1868.84,1665.84,13.15,39.71,2182.95,8382.46,critical,Critical Condition
86,607.92,759.25,1855.76,1653.87,13.06,40.07,2195.79,8289.55,critical,Critical Condition
87,618.5,769.19,1891.44,1660.57,12.87,39.51,2191.56,8267.63,critical,Critical Condition
88,613.53,764.39,1865.89,1675.33,12.98,39.54,2166.1,8217.34,critical,Critical Condition
89,614.06,755.1,1870.16,1656.91,12.95,40.34,2202.06,8270.4,critical,Critical Condition
90,610.03,770.57,1861.63,1651.99,13.05,40.06,2206.89,8161.57,critical,Critical Condition
91,624.08,770.45,1873.37,1688.98,12.84,39.37,2160.83,8262.69,critical,Critical Condition
92,627.68,778.38,1902.58,1687.58,12.99,39.3,2191.11,8258.47,critical,Critical Condition
