cycle,T2,T24,T30,T50,P2,P30,Nf,Nc,scenario,scenario_name
1,525.46,650.95,1589.3,1409.79,14.36,44.9,2375.08,9048.6,gradual_degradation,Gradual Degradation
2,525.93,648.87,1597.51,1403.37,14.56,44.69,2372.3,9051.36,gradual_degradation,Gradual Degradation
3,522.05,653.73,1602.28,1410.56,14.47,44.41,2392.5,9082.2,gradual_degradation,Gradual Degradation
4,527.3,648.46,1604.58,1414.13,14.44,44.15,2399.72,8957.19,gradual_degradation,Gradual Degradation
5,517.69,645.36,1588.69,1405.98,14.5,44.46,2389.8,8985.25,gradual_degradation,Gradual Degradation
6,526.45,651.59,1595.99,1405.66,14.42,44.69,2404.19,9101.52,gradual_degradation,Gradual Degradation
7,519.77,651.63,1596.56,1401.89,14.49,44.79,2397.36,9028.53,gradual_degradation,Gradual Degradation
8,526.39,654.17,1608.38,1426.95,14.51,44.17,2364.49,9089.45,gradual_degradation,Gradual Degradation
9,523.31,654.7,1598.71,1414.61,14.27,44.39,2392.67,9025.66,gradual_degradation,Gradual Degradation
10,524.97,654.36,1591.05,1408.2,14.49,44.65,2368.1,9013.21,gradual_degradation,Gradual Degradation
11,530.2,652.24,1600.51,1430.59,14.42,44.65,2403.09,9037.52,gradual_degradation,Gradual Degradation
12,527.29,650.83,1592.69,1429.84,14.31,44.0,2378.53,9053.86,gradual_degradation,Gradual Degradation
13,524.07,656.87,1607.94,1434.4,14.28,44.12,2381.08,9014.82,gradual_degradation,Gradual Degradation
14,529.31,657.33,1607.12,1418.0,14.22,44.26,2378.33,9071.03,gradual_degradation,Gradual Degradation
15,524.72,660.67,1595.28,1424.32,14.37,43.95,2396.47,8927.7,gradual_degradation,Gradual Degradation
16,525.12,653.11,1595.88,1438.0,14.39,44.43,2390.77,8980.7,gradual_degradation,Gradual Degradation
17,528.27,660.76,1613.1,1420.08,14.44,44.18,2372.17,8973.94,gradual_degradation,Gradual Degradation
18,526.28,653.17,1600.87,1422.81,14.2,43.67,2392.73,8999.05,gradual_degradation,Gradual Degradation
19,527.75,653.53,1610.9,1434.11,14.45,44.23,2385.45,8979.52,gradual_degradation,Gradual Degradation
20,525.38,660.74,1619.43,1437.19,14.17,43.7,2377.5,9028.84,gradual_degradation,Gradual Degradation
21,533.12,665.16,1603.5,1433.92,14.22,44.17,2360.85,9014.96,gradual_degradation,Gradual Degradation
22,536.08,659.01,1623.39,1430.99,14.22,43.66,2375.08,9013.24,gradual_degradation,Gradual Degradation
23,529.89,660.18,1622.79,1451.94,14.29,43.9,2369.03,8929.79,gradual_degradation,Gradual Degradation
24,537.83,667.67,1620.08,1450.19,14.3,44.39,2383.58,8891.09,gradual_degradation,Gradual Degradation
25,529.37,667.77,1632.74,1450.91,14.18,44.02,2349.42,8996.33,gradual_degradation,Gradual Degradation
26,532.27,667.16,1621.6,1455.3,14.26,43.69,2380.27,8939.58,gradual_degradation,Gradual Degradation
27,535.06,661.26,1634.26,1441.22,14.32,43.57,2341.91,8958.57,gradual_degradation,Gradual Degradation
28,536.2,659.01,1642.02,1449.46,14.35,44.0,2349.11,8851.86,gradual_degradation,Gradual Degradation
29,539.56,668.84,1624.23,1436.99,14.37,44.17,2383.92,8949.15,gradual_degradation,Gradual Degradation
30,531.94,664.7,1645.91,1452.44,14.26,43.49,2344.45,8967.71,gradual_degradation,Gradual Degradation
31,536.86,671.6,1636.15,1459.08,14.2,44.13,2360.32,8986.7,gradual_degradation,Gradual Degradation
32,536.0,661.37,1637.4,1463.72,14.26,43.63,2360.8,8965.49,gradual_degradation,Gradual Degradation
33,540.81,661.13,1641.67,1456.1,14.3,43.77,2343.95,8931.02,gradual_degradation,Gradual Degradation
34,534.24,668.51,1625.31,1462.53,14.16,43.43,2341.14,8990.34,gradual_degradation,Gradual Degradation
35,534.51,664.5,1634.19,1464.47,14.26,43.67,2368.31,8954.16,gradual_degradation,Gradual Degradation
36,538.56,669.41,1634.31,1450.07,14.14,43.74,2367.54,8870.92,gradual_degradation,Gradual Degradation
37,544.83,674.15,1629.21,1450.42,14.27,43.45,2355.26,8828.26,gradual_degradation,Gradual Degradation
38,535.29,669.94,1657.57,1459.43,14.19,43.32,2353.42,8968.92,gradual_degradation,Gradual Degradation
39,540.92,664.29,1656.19,1455.68,14.23,44.06,2362.56,8809.81,gradual_degradation,Gradual Degradation
40,544.97,674.22,1636.39,1470.17,14.1,43.61,2358.62,8822.38,gradual_degradation,Gradual Degradation
41,538.59,667.45,1657.55,1453.33,14.27,43.34,2333.05,8925.57,gradual_degradation,Gradual Degradation
42,543.57,672.07,1667.19,1467.62,14.02,43.69,2322.25,8853.53,gradual_degradation,Gradual Degradation
