cycle,T2,T24,T30,T50,P2,P30,Nf,Nc,scenario,scenario_name
1,520.39,642.2,1574.71,1391.92,14.67,45.38,2376.2,9032.02,normal,Normal Operation
2,516.21,642.85,1575.62,1391.78,14.58,45.37,2378.91,9056.04,normal,Normal Operation
3,518.6,642.13,1586.57,1404.61,14.63,45.4,2394.26,9016.93,normal,Normal Operation
4,519.82,640.82,1577.45,1403.43,14.57,45.41,2388.61,9080.05,normal,Normal Operation
5,519.85,641.05,1579.4,1404.04,14.62,45.3,2376.7,9048.73,normal,Normal Operation
6,520.03,643.76,1578.61,1395.14,14.64,45.26,2376.93,9046.43,normal,Normal Operation
7,519.69,639.26,1574.49,1400.47,14.6,45.2,2379.47,9039.46,normal,Normal Operation
8,517.94,643.19,1582.56,1401.87,14.65,45.27,2377.07,9077.64,normal,Normal Operation
9,520.02,642.31,1581.65,1404.12,14.56,45.23,2384.11,9048.86,normal,Normal Operation
10,516.8,641.44,1580.73,1403.02,14.66,45.07,2399.53,9080.87,normal,Normal Operation
11,518.94,640.52,1584.51,1396.34,14.64,45.02,2398.33,9073.17,normal,Normal Operation
12,518.91,639.12,1582.07,1404.25,14.69,45.29,2397.16,9045.49,normal,Normal Operation
13,518.8,641.53,1577.07,1396.16,14.64,45.04,2392.62,9084.45,normal,Normal Operation
14,521.16,641.89,1574.25,1394.49,14.59,45.37,2397.25,9056.16,normal,Normal Operation
15,519.28,639.08,1588.33,1397.43,14.68,45.24,2378.11,9084.8,normal,Normal Operation
16,519.09,641.75,1585.31,1401.68,14.59,45.33,2383.19,9044.98,normal,Normal Operation
17,518.05,641.15,1585.79,1392.68,14.65,45.22,2386.44,9002.3,normal,Normal Operation
18,517.3,641.06,1574.51,1393.0,14.64,45.36,2398.29,9045.11,normal,Normal Operation
19,517.34,644.81,1586.97,1401.92,14.66,45.36,2387.18,9081.36,normal,Normal Operation
20,519.41,641.18,1581.82,1397.77,14.56,45.4,2388.72,9014.25,normal,Normal Operation
21,517.11,645.02,1577.09,1392.42,14.55,45.01,2390.26,9039.99,normal,Normal Operation
22,518.34,642.11,1587.39,1394.13,14.68,45.24,2380.63,9089.58,normal,Normal Operation
23,517.94,641.64,1573.75,1398.56,14.61,45.22,2379.67,9064.93,normal,Normal Operation
24,520.38,643.48,1572.79,1393.74,14.58,45.36,2393.38,9021.1,normal,Normal Operation
25,516.23,644.25,1583.78,1398.51,14.63,45.41,2382.02,9003.73,normal,Normal Operation
26,517.47,642.7,1576.22,1394.68,14.56,45.06,2378.57,9035.04,normal,Normal Operation
27,520.23,639.07,1587.42,1400.65,14.67,44.98,2377.21,9035.4,normal,Normal Operation
28,518.13,642.92,1577.68,1397.77,14.69,45.22,2393.27,9053.84,normal,Normal Operation
29,516.6,644.14,1581.56,1401.01,14.55,45.34,2378.4,9043.89,normal,Normal Operation
30,517.43,644.85,1587.7,1392.44,14.61,45.33,2399.17,9059.64,normal,Normal Operation
31,519.68,643.6,1576.31,1394.74,14.67,45.16,2386.24,9006.75,normal,Normal Operation
32,516.53,644.76,1572.98,1394.36,14.6,45.06,2389.88,9023.49,normal,Normal Operation
33,517.11,642.09,1587.63,1391.76,14.61,45.05,2380.33,9005.72,normal,Normal Operation
34,519.54,641.89,1587.25,1394.27,14.67,45.29,2376.55,9003.72,normal,Normal Operation
35,516.15,643.87,1577.7,1396.03,14.61,45.03,2381.19,9023.81,normal,Normal Operation
36,516.16,638.97,1584.27,1397.21,14.6,45.41,2381.67,9038.2,normal,Normal Operation
37,519.49,639.64,1586.97,1395.89,14.59,45.1,2395.08,9091.22,normal,Normal Operation
38,520.45,642.02,1581.93,1403.26,14.64,45.06,2388.2,9073.28,normal,Normal Operation
39,520.0,641.75,1586.39,1398.62,14.58,45.3,2384.99,9020.12,normal,Normal Operation
40,516.47,645.0,1575.14,1392.34,14.67,45.2,2377.97,9027.51,normal,Normal Operation
41,516.26,643.67,1576.38,1402.11,14.62,45.21,2376.87,9079.06,normal,Normal Operation
42,520.75,642.28,1581.16,1393.13,14.56,45.39,2394.89,9088.77,normal,Normal Operation
43,520.06,645.12,1582.08,1392.02,14.65,45.05,2391.56,9011.57,normal,Normal Operation
44,517.2,639.21,1574.52,1397.69,14.55,45.07,2377.76,9043.96,normal,Normal Operation
45,517.67,639.1,1585.69,1391.88,14.69,45.31,2387.92,9072.31,normal,Normal Operation
46,521.06,643.4,1580.17,1396.32,14.64,45.03,2390.89,9025.21,normal,Normal Operation
47,519.99,639.88,1576.17,1392.81,14.63,45.1,2381.18,9038.31,normal,Normal Operation
48,517.57,642.79,1583.76,1391.23,14.56,45.26,2398.19,9005.78,normal,Normal Operation
49,519.06,642.19,1574.94,1401.27,14.58,45.33,2396.54,9067.35,normal,Normal Operation
50,519.22,644.74,1577.03,1393.27,14.66,45.07,2379.12,9084.31,normal,Normal Operation
51,519.61,644.73,1585.89,1404.17,14.67,45.18,2385.64,9075.13,normal,Normal Operation
52,520.1,643.58,1575.88,1396.64,14.61,45.24,2385.04,9028.65,normal,Normal Operation
53,516.1,641.82,1579.32,1397.45,14.68,45.09,2380.19,9072.08,normal,Normal Operation
54,518.1,643.02,1576.83,1397.75,14.55,45.28,2381.79,9060.27,normal,Normal Operation
55,520.08,641.94,1584.55,1398.05,14.66,45.05,2395.23,9004.86,normal,Normal Operation
56,519.14,644.45,1578.52,1391.79,14.62,45.34,2382.09,9032.78,normal,Normal Operation
57,520.31,639.59,1575.34,1404.87,14.59,45.32,2384.65,9043.23,normal,Normal Operation
58,520.24,645.23,1580.12,1396.63,14.69,45.08,2391.01,9082.73,normal,Normal Operation
59,518.65,643.36,1576.91,1397.39,14.65,45.16,2390.11,9026.21,normal,Normal Operation
60,516.56,639.26,1578.44,1403.0,14.59,45.33,2378.6,9011.65,normal,Normal Operation
61,516.34,642.14,1573.41,1400.76,14.69,45.31,2380.62,9058.61,normal,Normal Operation
62,518.93,643.85,1581.22,1397.24,14.66,45.35,2388.25,9067.56,normal,Normal Operation
63,519.92,643.38,1580.82,1395.53,14.6,45.13,2386.97,9010.28,normal,Normal Operation
64,518.53,645.04,1584.08,1391.86,14.65,45.0,2379.42,9033.4,normal,Normal Operation
65,517.5,640.43,1579.17,1399.72,14.6,45.38,2395.72,9040.64,normal,Normal Operation
66,516.28,642.1,1582.69,1397.86,14.56,45.03,2377.21,9057.51,normal,Normal Operation
67,520.12,644.45,1583.87,1393.15,14.57,45.29,2390.54,9081.45,normal,Normal Operation
68,520.37,642.91,1581.5,1395.19,14.65,45.24,2397.24,9063.16,normal,Normal Operation
69,517.01,639.48,1582.51,1393.56,14.66,45.09,2389.11,9058.58,normal,Normal Operation
70,517.24,639.55,1574.18,1398.93,14.57,45.21,2390.07,9070.86,normal,Normal Operation
71,520.64,641.01,1588.27,1393.54,14.69,45.37,2377.94,9065.87,normal,Normal Operation
72,518.66,644.59,1587.59,1402.03,14.56,45.18,2385.58,9017.58,normal,Normal Operation
73,519.75,641.16,1577.44,1391.9,14.6,45.12,2397.95,9019.6,normal,Normal Operation
74,520.91,644.88,1584.21,1393.15,14.66,45.09,2395.25,9028.83,normal,Normal Operation
75,516.27,644.76,1584.76,1402.3,14.58,45.37,2393.81,9055.05,normal,Normal Operation
76,519.3,644.3,1579.78,1396.09,14.64,45.14,2382.91,9078.61,normal,Normal Operation
77,520.86,641.52,1576.68,1401.74,14.69,45.18,2381.83,9062.54,normal,Normal Operation
78,520.37,645.2,1583.51,1404.88,14.65,45.42,2388.56,9009.61,normal,Normal Operation
79,516.4,643.65,1576.46,1401.46,14.68,44.98,2393.4,9074.01,normal,Normal Operation
80,520.78,641.03,1586.16,1392.96,14.56,45.19,2383.5,9014.51,normal,Normal Operation
81,517.8,642.11,1575.51,1394.12,14.68,45.28,2398.09,9048.12,normal,Normal Operation
82,518.79,639.12,1586.21,1398.59,14.57,45.35,2380.51,9085.78,normal,Normal Operation
83,516.2,644.54,1585.24,1394.04,14.61,45.03,2393.28,9051.46,normal,Normal Operation
84,520.24,643.81,1574.46,1399.2,14.62,45.14,2392.88,9017.8,normal,Normal Operation
85,520.61,641.58,1584.93,1396.22,14.68,45.07,2384.36,9077.53,normal,Normal Operation
86,516.79,642.83,1588.34,1400.6,14.58,45.18,2395.58,9068.42,normal,Normal Operation
87,521.12,645.21,1574.91,1397.0,14.67,45.3,2381.6,9055.66,normal,Normal Operation
88,520.81,643.98,1585.12,1401.7,14.58,45.21,2381.64,9005.0,normal,Normal Operation
89,518.62,645.06,1577.15,1403.37,14.63,45.37,2376.34,9050.58,normal,Normal Operation
90,517.67,641.42,1575.41,1400.0,14.67,45.29,2400.0,9085.25,normal,Normal Operation
91,516.18,642.01,1578.42,1402.23,14.56,45.07,2382.02,9074.6,normal,Normal Operation
92,518.41,643.6,1583.21,1393.52,14.68,45.22,2392.66,9013.18,normal,Normal Operation
93,520.67,644.34,1585.31,1399.69,14.6,45.33,2398.8,9050.51,normal,Normal Operation
94,520.35,640.45,1585.68,1396.52,14.6,45.18,2380.41,9083.91,normal,Normal Operation
95,516.16,640.46,1582.38,1401.15,14.57,45.32,2377.35,9056.89,normal,Normal Operation
96,517.44,641.1,1583.89,1401.66,14.69,45.26,2385.65,9069.22,normal,Normal Operation
97,520.46,641.5,1578.36,1399.33,14.67,45.33,2393.47,9060.51,normal,Normal Operation
98,517.78,645.24,1577.26,1396.57,14.6,45.1,2379.02,9079.77,normal,Normal Operation
99,520.57,642.82,1581.21,1399.37,14.6,45.08,2391.18,9027.23,normal,Normal Operation
100,518.69,639.86,1579.55,1404.81,14.64,45.25,2384.2,9008.54,normal,Normal Operation
