cycle,T2,T24,T30,T50,P2,P30,Nf,Nc,scenario,scenario_name
1,519.81,641.92,1572.19,1393.01,14.48,45.25,2407.2,9090.3,pressure_drop,Pressure System Failure
2,523.92,647.85,1573.88,1410.73,14.53,44.75,2393.95,9018.3,pressure_drop,Pressure System Failure
3,520.5,648.84,1588.18,1395.44,14.38,44.54,2376.38,9038.05,pressure_drop,Pressure System Failure
4,521.81,641.7,1599.21,1396.39,14.5,44.43,2382.46,9122.37,pressure_drop,Pressure System Failure
5,518.17,650.43,1583.68,1415.61,14.34,44.8,2381.22,9039.1,pressure_drop,Pressure System Failure
6,526.45,646.9,1602.77,1403.81,14.47,44.63,2392.18,9085.24,pressure_drop,Pressure System Failure
7,523.81,646.7,1583.49,1399.11,14.39,44.46,2398.61,9021.64,pressure_drop,Pressure System Failure
8,523.13,648.37,1596.93,1407.3,14.21,43.99,2396.18,9052.77,pressure_drop,Pressure System Failure
9,521.85,648.48,1591.79,1414.1,14.29,44.53,2377.07,9091.58,pressure_drop,Pressure System Failure
10,526.49,646.36,1609.75,1417.46,14.23,43.82,2404.29,9056.45,pressure_drop,Pressure System Failure
11,526.67,655.16,1591.17,1411.98,14.12,44.07,2409.02,8988.84,pressure_drop,Pressure System Failure
12,522.23,652.69,1611.34,1423.87,14.13,43.73,2403.3,8995.05,pressure_drop,Pressure System Failure
13,523.26,654.85,1595.65,1425.85,14.27,43.81,2385.99,9110.63,pressure_drop,Pressure System Failure
14,525.36,649.7,1591.63,1430.85,14.06,44.07,2382.08,9080.56,pressure_drop,Pressure System Failure
15,523.9,655.84,1597.31,1429.46,14.2,43.52,2381.84,9108.0,pressure_drop,Pressure System Failure
16,529.18,653.38,1613.04,1421.35,14.1,43.71,2372.99,9057.7,pressure_drop,Pressure System Failure
17,529.32,652.6,1610.37,1413.75,13.98,43.25,2381.57,9013.16,pressure_drop,Pressure System Failure
18,526.53,657.87,1601.73,1416.23,14.1,43.07,2380.57,9061.05,pressure_drop,Pressure System Failure
19,528.67,656.6,1616.68,1423.48,13.93,43.5,2394.61,9017.4,pressure_drop,Pressure System Failure
20,526.25,661.53,1623.68,1426.72,13.89,43.02,2398.9,9094.71,pressure_drop,Pressure System Failure
21,529.09,660.4,1622.32,1421.67,13.99,42.94,2400.79,9045.42,pressure_drop,Pressure System Failure
22,530.82,659.06,1604.23,1423.37,13.91,43.02,2404.78,9025.85,pressure_drop,Pressure System Failure
23,532.22,662.78,1627.89,1429.14,13.78,43.1,2402.38,9079.06,pressure_drop,Pressure System Failure
24,535.25,656.53,1617.23,1438.73,13.82,42.63,2385.32,9072.08,pressure_drop,Pressure System Failure
