cycle,T2,T24,T30,T50,P2,P30,Nf,Nc,scenario,scenario_name
1,523.41,647.24,1576.85,1396.92,14.68,45.4,2402.49,9091.46,sudden_anomaly,Sudden Anomaly
2,520.45,636.49,1565.55,1385.39,14.55,45.19,2372.93,9097.54,sudden_anomaly,Sudden Anomaly
3,518.43,638.4,1583.61,1387.86,14.65,45.44,2386.25,9123.62,sudden_anomaly,Sudden Anomaly
4,520.72,647.49,1572.27,1402.2,14.58,45.05,2383.51,9104.43,sudden_anomaly,Sudden Anomaly
5,517.42,636.92,1567.73,1406.73,14.53,45.38,2382.57,8989.78,sudden_anomaly,Sudden Anomaly
6,518.4,640.85,1570.59,1389.04,14.49,45.52,2393.58,9126.63,sudden_anomaly,Sudden Anomaly
7,516.1,636.78,1579.89,1407.82,14.5,44.76,2364.51,9083.82,sudden_anomaly,Sudden Anomaly
8,518.24,641.87,1593.02,1386.76,14.7,45.42,2375.04,9103.28,sudden_anomaly,Sudden Anomaly
9,516.25,641.58,1592.5,1401.51,14.47,44.95,2370.3,9136.03,sudden_anomaly,Sudden Anomaly
10,518.77,647.01,1593.87,1392.82,14.64,45.39,2398.62,9076.97,sudden_anomaly,Sudden Anomaly
11,517.9,646.28,1586.64,1394.9,14.64,45.56,2400.71,9047.11,sudden_anomaly,Sudden Anomaly
12,516.72,640.51,1588.77,1392.09,14.62,45.18,2387.24,8990.94,sudden_anomaly,Sudden Anomaly
13,520.76,640.63,1594.56,1392.07,14.68,44.76,2397.76,9110.45,sudden_anomaly,Sudden Anomaly
14,523.85,646.81,1582.06,1410.88,14.74,45.0,2403.88,8965.94,sudden_anomaly,Sudden Anomaly
15,514.94,641.81,1592.8,1395.46,14.5,45.16,2406.59,8998.89,sudden_anomaly,Sudden Anomaly
16,514.23,644.6,1581.4,1386.99,14.7,45.04,2404.35,9119.09,sudden_anomaly,Sudden Anomaly
17,522.98,646.11,1582.21,1409.56,14.67,45.49,2387.9,9093.68,sudden_anomaly,Sudden Anomaly
18,516.2,642.82,1569.13,1398.39,14.73,44.83,2399.56,9127.85,sudden_anomaly,Sudden Anomaly
19,519.29,648.07,1596.3,1389.17,14.76,44.98,2365.73,9043.01,sudden_anomaly,Sudden Anomaly
20,513.54,643.85,1582.59,1384.61,14.71,44.8,2375.63,8970.34,sudden_anomaly,Sudden Anomaly
21,523.61,644.8,1588.63,1397.1,14.7,45.4,2383.55,9094.95,sudden_anomaly,Sudden Anomaly
22,517.37,636.61,1591.38,1395.88,14.53,44.84,2384.1,9054.69,sudden_anomaly,Sudden Anomaly
23,517.27,642.22,1586.07,1403.28,14.59,44.87,2385.21,9106.23,sudden_anomaly,Sudden Anomaly
24,519.62,643.92,1569.55,1397.95,14.49,45.25,2366.17,9043.95,sudden_anomaly,Sudden Anomaly
25,516.06,643.91,1575.51,1397.33,14.5,45.23,2368.74,9025.86,sudden_anomaly,Sudden Anomaly
26,520.8,642.5,1570.24,1410.61,14.74,45.09,2371.41,8998.85,sudden_anomaly,Sudden Anomaly
27,522.79,638.85,1575.64,1411.51,14.76,45.58,2373.51,9120.71,sudden_anomaly,Sudden Anomaly
28,523.5,636.59,1566.71,1407.89,14.57,44.97,2385.78,8992.58,sudden_anomaly,Sudden Anomaly
29,517.99,642.92,1585.43,1407.12,14.6,45.56,2382.38,9040.14,sudden_anomaly,Sudden Anomaly
30,523.72,642.38,1591.18,1390.12,14.61,45.25,2366.3,9070.1,sudden_anomaly,Sudden Anomaly
31,518.52,638.84,1565.89,1404.74,14.54,45.6,2403.62,9032.71,sudden_anomaly,Sudden Anomaly
32,523.65,646.12,1587.18,1411.84,14.53,44.99,2366.32,9123.79,sudden_anomaly,Sudden Anomaly
33,519.48,639.93,1582.98,1394.32,14.73,44.81,2369.62,9130.71,sudden_anomaly,Sudden Anomaly
34,523.18,635.96,1574.61,1392.94,14.63,45.31,2389.99,9121.84,sudden_anomaly,Sudden Anomaly
35,516.59,647.26,1574.7,1391.93,14.61,45.55,2400.01,9096.81,sudden_anomaly,Sudden Anomaly
36,522.59,636.07,1577.52,1394.4,14.67,44.81,2374.46,9093.4,sudden_anomaly,Sudden Anomaly
37,520.78,641.7,1589.95,1400.88,14.6,44.9,2386.01,8989.53,sudden_anomaly,Sudden Anomaly
38,519.67,640.89,1594.31,1395.74,14.73,44.85,2402.23,8958.76,sudden_anomaly,Sudden Anomaly
39,521.47,635.75,1571.04,1408.73,14.61,45.42,2377.87,9091.36,sudden_anomaly,Sudden Anomaly
40,523.4,642.43,1574.4,1402.95,14.75,45.48,2407.49,8994.86,sudden_anomaly,Sudden Anomaly
41,523.26,648.27,1579.3,1387.29,14.56,44.8,2390.78,9083.16,sudden_anomaly,Sudden Anomaly
42,514.28,642.14,1575.94,1394.02,14.68,45.47,2370.12,9124.18,sudden_anomaly,Sudden Anomaly
43,519.79,638.8,1591.73,1387.19,14.54,44.82,2395.37,9099.19,sudden_anomaly,Sudden Anomaly
44,521.39,642.83,1572.03,1385.8,14.5,45.59,2390.14,9124.94,sudden_anomaly,Sudden Anomaly
45,520.06,643.65,1584.11,1410.02,14.68,45.02,2406.12,9096.14,sudden_anomaly,Sudden Anomaly
46,522.51,638.75,1565.42,1409.97,14.76,45.22,2381.7,8977.56,sudden_anomaly,Sudden Anomaly
47,515.52,640.71,1590.24,1398.61,14.58,44.89,2399.07,9040.03,sudden_anomaly,Sudden Anomaly
48,520.25,647.81,1590.02,1410.45,14.53,45.06,2409.41,9120.15,sudden_anomaly,Sudden Anomaly
49,518.08,643.65,1583.01,1406.65,14.67,45.02,2369.18,9084.74,sudden_anomaly,Sudden Anomaly
50,520.37,637.63,1624.03,1453.93,14.54,45.45,2400.68,9029.59,sudden_anomaly,Sudden Anomaly
51,522.34,635.73,1622.78,1436.1,14.7,45.22,2401.4,9039.77,sudden_anomaly,Sudden Anomaly
52,514.82,635.96,1621.78,1441.78,14.76,45.53,2388.62,8962.82,sudden_anomaly,Sudden Anomaly
53,518.22,636.72,1621.15,1451.03,14.71,44.95,2388.82,9077.03,sudden_anomaly,Sudden Anomaly
54,519.58,637.6,1622.34,1438.02,14.76,44.77,2379.63,9124.48,sudden_anomaly,Sudden Anomaly
55,520.73,637.07,1632.24,1431.24,14.69,45.52,2375.26,8986.85,sudden_anomaly,Sudden Anomaly
56,523.38,636.72,1623.86,1433.41,14.64,44.98,2404.82,9079.02,sudden_anomaly,Sudden Anomaly
57,522.54,640.06,1625.43,1427.26,14.5,45.1,2392.36,9005.12,sudden_anomaly,Sudden Anomaly
58,522.55,643.91,1632.79,1443.88,14.6,44.82,2404.78,8991.17,sudden_anomaly,Sudden Anomaly
59,517.78,639.28,1613.78,1431.26,14.54,44.96,2373.74,9050.82,sudden_anomaly,Sudden Anomaly
60,517.88,641.29,1621.72,1429.74,14.59,45.21,2373.36,9073.16,sudden_anomaly,Sudden Anomaly
61,517.65,648.45,1639.08,1450.65,14.48,44.91,2382.04,9000.58,sudden_anomaly,Sudden Anomaly
62,514.29,641.75,1613.24,1438.24,14.76,45.09,2365.21,9125.63,sudden_anomaly,Sudden Anomaly
63,518.71,644.08,1627.48,1446.01,14.61,45.54,2372.04,8987.3,sudden_anomaly,Sudden Anomaly
64,517.74,643.41,1635.48,1450.6,14.69,45.62,2368.65,9008.31,sudden_anomaly,Sudden Anomaly
65,518.29,642.67,1633.41,1427.39,14.66,45.64,2369.11,9037.12,sudden_anomaly,Sudden Anomaly
66,516.4,643.97,1619.9,1439.31,14.5,45.4,2373.17,9000.57,sudden_anomaly,Sudden Anomaly
67,519.38,645.23,1625.7,1427.86,14.6,45.4,2407.86,8974.51,sudden_anomaly,Sudden Anomaly
68,522.48,638.46,1639.51,1432.65,14.64,44.82,2388.78,8985.18,sudden_anomaly,Sudden Anomaly
69,519.4,642.34,1619.76,1436.63,14.61,45.19,2387.05,9014.56,sudden_anomaly,Sudden Anomaly
70,516.35,641.24,1631.72,1451.61,14.6,44.75,2390.25,9037.22,sudden_anomaly,Sudden Anomaly
71,516.4,636.44,1619.23,1453.99,14.59,44.83,2396.73,9007.87,sudden_anomaly,Sudden Anomaly
72,520.25,644.11,1619.07,1430.11,14.63,44.87,2389.82,9041.01,sudden_anomaly,Sudden Anomaly
73,523.11,638.17,1632.23,1431.59,14.7,45.01,2411.26,9066.7,sudden_anomaly,Sudden Anomaly
74,513.69,637.43,1632.79,1441.5,14.55,45.58,2370.58,9124.35,sudden_anomaly,Sudden Anomaly
75,520.89,644.18,1629.45,1451.34,14.6,45.5,2380.75,9054.75,sudden_anomaly,Sudden Anomaly
76,514.95,636.56,1640.54,1451.26,14.61,45.36,2378.71,9024.27,sudden_anomaly,Sudden Anomaly
77,518.16,641.95,1625.27,1431.09,14.66,45.57,2386.8,9057.76,sudden_anomaly,Sudden Anomaly
78,519.3,642.67,1636.75,1453.15,14.59,45.5,2404.88,9091.15,sudden_anomaly,Sudden Anomaly
79,516.38,644.79,1631.15,1434.68,14.5,44.92,2368.45,9097.67,sudden_anomaly,Sudden Anomaly
80,514.25,641.49,1642.66,1430.41,14.72,45.26,2393.69,9055.33,sudden_anomaly,Sudden Anomaly
81,516.5,648.46,1618.68,1430.24,14.49,45.19,2364.73,8997.25,sudden_anomaly,Sudden Anomaly
82,518.97,645.49,1624.55,1448.79,14.54,45.48,2365.65,8973.19,sudden_anomaly,Sudden Anomaly
83,520.9,640.03,1641.38,1445.96,14.49,45.46,2372.06,8970.97,sudden_anomaly,Sudden Anomaly
84,517.45,643.21,1633.54,1436.39,14.56,44.99,2389.73,8965.82,sudden_anomaly,Sudden Anomaly
85,519.29,636.37,1629.07,1430.3,14.7,45.52,2370.26,9089.84,sudden_anomaly,Sudden Anomaly
86,515.86,643.35,1621.74,1440.0,14.7,45.36,2405.94,9023.32,sudden_anomaly,Sudden Anomaly
87,514.94,640.18,1613.68,1440.69,14.61,44.92,2393.9,9114.78,sudden_anomaly,Sudden Anomaly
88,513.5,636.84,1634.31,1443.2,14.5,44.91,2387.43,9040.38,sudden_anomaly,Sudden Anomaly
89,520.09,643.03,1612.44,1452.38,14.64,44.75,2375.08,9039.82,sudden_anomaly,Sudden Anomaly
90,517.8,644.89,1631.95,1441.85,14.7,45.27,2388.46,9074.18,sudden_anomaly,Sudden Anomaly
91,515.61,640.36,1620.54,1433.02,14.6,44.9,2388.16,8973.35,sudden_anomaly,Sudden Anomaly
92,515.85,643.98,1629.05,1433.3,14.64,45.62,2393.59,9051.17,sudden_anomaly,Sudden Anomaly
93,522.27,643.17,1627.98,1428.29,14.64,45.6,2408.19,9001.84,sudden_anomaly,Sudden Anomaly
94,514.43,638.61,1619.96,1429.09,14.68,45.28,2381.97,8987.93,sudden_anomaly,Sudden Anomaly
95,514.77,643.7,1641.13,1433.73,14.59,45.27,2386.76,9107.75,sudden_anomaly,Sudden Anomaly
96,518.54,646.48,1625.87,1426.99,14.52,45.07,2405.31,9131.74,sudden_anomaly,Sudden Anomaly
97,514.65,639.6,1621.89,1452.09,14.76,45.18,2385.09,8974.54,sudden_anomaly,Sudden Anomaly
98,522.6,638.32,1636.39,1433.01,14.63,45.18,2391.1,9011.27,sudden_anomaly,Sudden Anomaly
99,520.55,644.62,1631.44,1449.7,14.74,44.77,2406.92,8993.42,sudden_anomaly,Sudden Anomaly
100,520.87,644.63,1621.41,1438.39,14.68,44.77,2381.9,9040.77,sudden_anomaly,Sudden Anomaly
